Aboultaif, Ziad, ziad.aboultaif@parl.gc.ca, Conservative, Edmonton Manning, Alberta, 
Aitchison, Scott, Scott.Aitchison@parl.gc.ca, Conservative, Parry Sound—Muskoka, Ontario, 
Albas, Dan, dan.albas@parl.gc.ca, Conservative, Central Okanagan—Similkameen—Nicola, British Columbia, 
Aldag, John, john.aldag@parl.gc.ca, Liberal, Cloverdale—Langley City, British Columbia, 
Alghabra, Hon. Omar, omar.alghabra@parl.gc.ca, Liberal, Mississauga Centre, Ontario, 
Ali, Shafqat, shafqat.ali@parl.gc.ca, Liberal, Brampton Centre, Ontario, 
Allison, Dean, dean.allison@parl.gc.ca, Conservative, Niagara West, Ontario, 
Anand, Hon. Anita, Anita.Anand@parl.gc.ca, Liberal, Oakville, Ontario, 
Anandasangaree, Gary, gary.anand@parl.gc.ca, Liberal, Scarborough—Rouge Park, Ontario, 
Angus, Charlie, charlie.angus@parl.gc.ca, NDP, Timmins—James Bay, Ontario, 
Arnold, Mel, mel.arnold@parl.gc.ca, Conservative, North Okanagan—Shuswap, British Columbia, 
Arseneault, René, rene.arseneault@parl.gc.ca, Liberal, Madawaska—Restigouche, New Brunswick, 
Arya, Chandra, chandra.arya@parl.gc.ca, Liberal, Nepean, Ontario, 
Ashton, Niki, niki.ashton@parl.gc.ca, NDP, Churchill—Keewatinook Aski, Manitoba, 
Atwin, Jenica, Jenica.Atwin@parl.gc.ca, Liberal, Fredericton, New Brunswick, 
Bachrach, Taylor, Taylor.Bachrach@parl.gc.ca, NDP, Skeena—Bulkley Valley, British Columbia, 
Badawey, Vance, vance.badawey@parl.gc.ca, Liberal, Niagara Centre, Ontario, 
Bains, Parm, parm.bains@parl.gc.ca, Liberal, Steveston—Richmond East, British Columbia, 
Baker, Yvan, Yvan.Baker@parl.gc.ca, Liberal, Etobicoke Centre, Ontario, 
Baldinelli, Tony, Tony.Baldinelli@parl.gc.ca, Conservative, Niagara Falls, Ontario, 
Barlow, John, john.barlow@parl.gc.ca, Conservative, Foothills, Alberta, 
Barrett, Michael, Michael.Barrett@parl.gc.ca, Conservative, Leeds—Grenville—Thousand Islands and Rideau Lakes, Ontario, 
Barron, Lisa Marie, lisamarie.barron@parl.gc.ca, NDP, Nanaimo—Ladysmith, British Columbia, 
Barsalou-Duval, Xavier, xavier.barsalou-duval@parl.gc.ca, Bloc Québécois, Pierre-Boucher—Les Patriotes—Verchères, Quebec, 
Battiste, Jaime, Jaime.Battiste@parl.gc.ca, Liberal, Sydney—Victoria, Nova Scotia, 
Beaulieu, Mario, mario.beaulieu@parl.gc.ca, Bloc Québécois, La Pointe-de-l'Île, Quebec, 
Beech, Terry, terry.beech@parl.gc.ca, Liberal, Burnaby North—Seymour, British Columbia, 
Bendayan, Rachel, Rachel.Bendayan@parl.gc.ca, Liberal, Outremont, Quebec, 
Bennett, Hon. Carolyn, carolyn.bennett@parl.gc.ca, Liberal, Toronto—St. Paul's, Ontario, 
Benzen, Bob, bob.benzen@parl.gc.ca, Conservative, Calgary Heritage, Alberta, 
Bergen, Hon. Candice, candice.bergen@parl.gc.ca, Conservative, Portage—Lisgar, Manitoba, 
Bergeron, Stéphane, Stephane.Bergeron@parl.gc.ca, Bloc Québécois, Montarville, Quebec, 
Berthold, Luc, luc.berthold@parl.gc.ca, Conservative, Mégantic—L'Érable, Quebec, 
Bérubé, Sylvie, Sylvie.Berube@parl.gc.ca, Bloc Québécois, Abitibi—Baie-James—Nunavik—Eeyou, Quebec, 
Bezan, James, james.bezan@parl.gc.ca, Conservative, Selkirk—Interlake—Eastman, Manitoba, 
Bibeau, Hon. Marie-Claude, marie-claude.bibeau@parl.gc.ca, Liberal, Compton—Stanstead, Quebec, 
Bittle, Chris, chris.bittle@parl.gc.ca, Liberal, St. Catharines, Ontario, 
Blaikie, Daniel, daniel.blaikie@parl.gc.ca, NDP, Elmwood—Transcona, Manitoba, 
Blair, Hon. Bill, bill.blair@parl.gc.ca, Liberal, Scarborough Southwest, Ontario, 
Blanchet, Yves-François, Yves-Francois.Blanchet@parl.gc.ca, Bloc Québécois, Beloeil—Chambly, Quebec, 
Blanchette-Joncas, Maxime, Maxime.Blanchette-Joncas@parl.gc.ca, Bloc Québécois, Rimouski-Neigette—Témiscouata—Les Basques, Quebec, 
Blaney, Rachel, rachel.blaney@parl.gc.ca, NDP, North Island—Powell River, British Columbia, 
Block, Kelly, kelly.block@parl.gc.ca, Conservative, Carlton Trail—Eagle Creek, Saskatchewan, 
Blois, Kody, Kody.Blois@parl.gc.ca, Liberal, Kings—Hants, Nova Scotia, 
Boissonnault, Hon. Randy, randy.boissonnault@parl.gc.ca, Liberal, Edmonton Centre, Alberta, 
Boulerice, Alexandre, Alexandre.Boulerice@parl.gc.ca, NDP, Rosemont—La Petite-Patrie, Quebec, 
Bradford, Valerie, valerie.bradford@parl.gc.ca, Liberal, Kitchener South—Hespeler, Ontario, 
Bragdon, Richard, Richard.Bragdon@parl.gc.ca, Conservative, Tobique—Mactaquac, New Brunswick, 
Brassard, John, john.brassard@parl.gc.ca, Conservative, Barrie—Innisfil, Ontario, 
Brière, Élisabeth, Elisabeth.Briere@parl.gc.ca, Liberal, Sherbrooke, Quebec, 
Brock, Larry, larry.brock@parl.gc.ca, Conservative, Brantford—Brant, Ontario, 
Brunelle-Duceppe, Alexis, Alexis.Brunelle-Duceppe@parl.gc.ca, Bloc Québécois, Lac-Saint-Jean, Quebec, 
Calkins, Blaine, blaine.calkins@parl.gc.ca, Conservative, Red Deer—Lacombe, Alberta, 
Cannings, Richard, richard.cannings@parl.gc.ca, NDP, South Okanagan—West Kootenay, British Columbia, 
Caputo, Frank, frank.caputo@parl.gc.ca, Conservative, Kamloops—Thompson—Cariboo, British Columbia, 
Carr, Hon. Jim, jim.carr@parl.gc.ca, Liberal, Winnipeg South Centre, Manitoba, 
Carrie, Colin, colin.carrie@parl.gc.ca, Conservative, Oshawa, Ontario, 
Casey, Sean, sean.casey@parl.gc.ca, Liberal, Charlottetown, Prince Edward Island, 
Chabot, Louise, Louise.Chabot@parl.gc.ca, Bloc Québécois, Thérèse-De Blainville, Quebec, 
Chagger, Hon. Bardish, bardish.chagger@parl.gc.ca, Liberal, Waterloo, Ontario, 
Chahal, George, george.chahal@parl.gc.ca, Liberal, Calgary Skyview, Alberta, 
Chambers, Adam, adam.chambers@parl.gc.ca, Conservative, Simcoe North, Ontario, 
Champagne, Hon. François-Philippe, francois-philippe.champagne@parl.gc.ca, Liberal, Saint-Maurice—Champlain, Quebec, 
Champoux, Martin, Martin.Champoux@parl.gc.ca, Bloc Québécois, Drummond, Quebec, 
Chatel, Sophie, sophie.chatel@parl.gc.ca, Liberal, Pontiac, Quebec, 
Chen, Shaun, shaun.chen@parl.gc.ca, Liberal, Scarborough North, Ontario, 
Chiang, Paul, paul.chiang@parl.gc.ca, Liberal, Markham—Unionville, Ontario, 
Chong, Hon. Michael D., michael.chong@parl.gc.ca, Conservative, Wellington—Halton Hills, Ontario, 
Collins, Chad, chad.collins@parl.gc.ca, Liberal, Hamilton East—Stoney Creek, Ontario, 
Collins, Laurel, Laurel.Collins@parl.gc.ca, NDP, Victoria, British Columbia, 
Cooper, Michael, michael.cooper@parl.gc.ca, Conservative, St. Albert—Edmonton, Alberta, 
Cormier, Serge, serge.cormier@parl.gc.ca, Liberal, Acadie—Bathurst, New Brunswick, 
Coteau, Michael, michael.coteau@parl.gc.ca, Liberal, Don Valley East, Ontario, 
Dabrusin, Julie, julie.dabrusin@parl.gc.ca, Liberal, Toronto—Danforth, Ontario, 
Dalton, Marc, Marc.Dalton@parl.gc.ca, Conservative, Pitt Meadows—Maple Ridge, British Columbia, 
Damoff, Pam, pam.damoff@parl.gc.ca, Liberal, Oakville North—Burlington, Ontario, 
Dancho, Raquel, Raquel.Dancho@parl.gc.ca, Conservative, Kildonan—St. Paul, Manitoba, 
Davidson, Scot, Scot.Davidson@parl.gc.ca, Conservative, York—Simcoe, Ontario, 
Davies, Don, don.davies@parl.gc.ca, NDP, Vancouver Kingsway, British Columbia, 
DeBellefeuille, Claude, Claude.DeBellefeuille@parl.gc.ca, Bloc Québécois, Salaberry—Suroît, Quebec, 
Deltell, Gérard, gerard.deltell@parl.gc.ca, Conservative, Louis-Saint-Laurent, Quebec, 
d'Entremont, Chris, Chris.dEntremont@parl.gc.ca, Conservative, West Nova, Nova Scotia, 
Desbiens, Caroline, Caroline.Desbiens@parl.gc.ca, Bloc Québécois, Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix, Quebec, 
Desilets, Luc, Luc.Desilets@parl.gc.ca, Bloc Québécois, Rivière-des-Mille-Îles, Quebec, 
Desjarlais, Blake, blake.desjarlais@parl.gc.ca, NDP, Edmonton Griesbach, Alberta, 
Dhaliwal, Sukh, sukh.dhaliwal@parl.gc.ca, Liberal, Surrey—Newton, British Columbia, 
Dhillon, Anju, anju.dhillon@parl.gc.ca, Liberal, Dorval—Lachine—LaSalle, Quebec, 
Diab, Lena Metlege, lenametlege.diab@parl.gc.ca, Liberal, Halifax West, Nova Scotia, 
Doherty, Todd, todd.doherty@parl.gc.ca, Conservative, Cariboo—Prince George, British Columbia, 
Dong, Han, Han.Dong@parl.gc.ca, Liberal, Don Valley North, Ontario, 
Dowdall, Terry, Terry.Dowdall@parl.gc.ca, Conservative, Simcoe—Grey, Ontario, 
Dreeshen, Earl, earl.dreeshen@parl.gc.ca, Conservative, Red Deer—Mountain View, Alberta, 
Drouin, Francis, francis.drouin@parl.gc.ca, Liberal, Glengarry—Prescott—Russell, Ontario, 
Dubourg, Emmanuel, emmanuel.dubourg@parl.gc.ca, Liberal, Bourassa, Quebec, 
Duclos, Hon. Jean-Yves, jean-yves.duclos@parl.gc.ca, Liberal, Québec, Quebec, 
Duguid, Terry, terry.duguid@parl.gc.ca, Liberal, Winnipeg South, Manitoba, 
Duncan, Eric, Eric.Duncan@parl.gc.ca, Conservative, Stormont—Dundas—South Glengarry, Ontario, 
Duncan, Hon. Kirsty, kirsty.duncan@parl.gc.ca, Liberal, Etobicoke North, Ontario, 
Dzerowicz, Julie, julie.dzerowicz@parl.gc.ca, Liberal, Davenport, Ontario, 
Ehsassi, Ali, ali.ehsassi@parl.gc.ca, Liberal, Willowdale, Ontario, 
El-Khoury, Fayçal, faycal.el-khoury@parl.gc.ca, Liberal, Laval—Les Îles, Quebec, 
Ellis, Stephen, stephen.ellis@parl.gc.ca, Conservative, Cumberland—Colchester, Nova Scotia, 
Epp, Dave, Dave.Epp@parl.gc.ca, Conservative, Chatham-Kent—Leamington, Ontario, 
Erskine-Smith, Nathaniel, nathaniel.erskine-smith@parl.gc.ca, Liberal, Beaches—East York, Ontario, 
Falk, Rosemarie, Rosemarie.Falk@parl.gc.ca, Conservative, Battlefords—Lloydminster, Saskatchewan, 
Falk, Ted, ted.falk@parl.gc.ca, Conservative, Provencher, Manitoba, 
Fast, Hon. Ed, ed.fast@parl.gc.ca, Conservative, Abbotsford, British Columbia, 
Fergus, Hon. Greg, Greg.Fergus@parl.gc.ca, Liberal, Hull—Aylmer, Quebec, 
Ferreri, Michelle, michelle.ferreri@parl.gc.ca, Conservative, Peterborough—Kawartha, Ontario, 
Fillmore, Andy, andy.fillmore@parl.gc.ca, Liberal, Halifax, Nova Scotia, 
Findlay, Hon. Kerry-Lynne D., kerry-lynne.findlay@parl.gc.ca, Conservative, South Surrey—White Rock, British Columbia, 
Fisher, Darren, darren.fisher@parl.gc.ca, Liberal, Dartmouth—Cole Harbour, Nova Scotia, 
Fonseca, Peter, peter.fonseca@parl.gc.ca, Liberal, Mississauga East—Cooksville, Ontario, 
Fortier, Hon. Mona, mona.fortier@parl.gc.ca, Liberal, Ottawa—Vanier, Ontario, 
Fortin, Rhéal Éloi, rheal.fortin@parl.gc.ca, Bloc Québécois, Rivière-du-Nord, Quebec, 
Fragiskatos, Peter, peter.fragiskatos@parl.gc.ca, Liberal, London North Centre, Ontario, 
Fraser, Hon. Sean, sean.fraser@parl.gc.ca, Liberal, Central Nova, Nova Scotia, 
Freeland, Hon. Chrystia, chrystia.freeland@parl.gc.ca, Liberal, University—Rosedale, Ontario, 
Fry, Hon. Hedy, hedy.fry@parl.gc.ca, Liberal, Vancouver Centre, British Columbia, 
Gaheer, Iqwinder, iqwinder.gaheer@parl.gc.ca, Liberal, Mississauga—Malton, Ontario, 
Gallant, Cheryl, cheryl.gallant@parl.gc.ca, Conservative, Renfrew—Nipissing—Pembroke, Ontario, 
Garneau, Hon. Marc, marc.garneau@parl.gc.ca, Liberal, Notre-Dame-de-Grâce—Westmount, Quebec, 
Garon, Jean-Denis, jean-denis.garon@parl.gc.ca, Bloc Québécois, Mirabel, Quebec, 
Garrison, Randall, randall.garrison@parl.gc.ca, NDP, Esquimalt—Saanich—Sooke, British Columbia, 
