State,Head of state,Head of government,Email Contact
 Afghanistan,Leader – Hibatullah Akhundzada,Acting Prime Minister – Hasan Akhund,
 Albania,President – Bajram Begaj,Prime Minister – Edi Rama,https://www.facebook.com/ediramaal
 Algeria,President – Abdelmadjid Tebboune,Prime Minister – Aymen Benabderrahmane,https://www.facebook.com/MFAAlgeria
 Andorra,"Episcopal Co-Prince – Joan Enric Vives i Sicília
Co-Prince's Representative – Josep Maria Mauri
French Co-Prince – Emmanuel Macron[?]
Co-Prince's Representative – Patrick Strzoda",Prime Minister – Xavier Espot Zamora,https://www.govern.ad/contactar
 Angola,President – João Lourenço,,https://www.facebook.com/GovernodeAngola/
 Antigua and Barbuda,"King – Charles III[?]
Governor-General – Sir Rodney Williams",Prime Minister – Gaston Browne,Permanent Secretary: Seanhatestogetspam.Cenac@ab.gov.ag
 Argentina,President – Alberto Fernández,,(Press) prensa@mecon.gob.ar
 Armenia,President – Vahagn Khachaturyan,Prime Minister – Nikol Pashinyan,nikolpashinyan@parliament.am
 Australia,"King – Charles III[?]
Governor-General – David Hurley",Prime Minister – Anthony Albanese,https://www.pm.gov.au/contact-your-pm
 Austria,President – Alexander Van der Bellen,Chancellor – Karl Nehammer,(Press) press@austria.org
 Azerbaijan,President – Ilham Aliyev,Prime Minister – Ali Asadov,https://president.az/en/letters/new
" Bahamas, The","King – Charles III[?]
Governor-General – Sir Cornelius A. Smith",Prime Minister – Philip Davis,"financemail@bahamas.gov.bs ,  mofgeneral@bahamas.gov.bs"
 Bahrain,King – Sheikh Hamad bin Isa Al Khalifa,Prime Minister – Prince Salman bin Hamad Al Khalifa,http://www.crownprince.bh/en/contact
 Bangladesh,President – Abdul Hamid,Prime Minister – Sheikh Hasina,PS for PM: psecy@pmo.gov.bd
 Barbados,President – Dame Sandra Mason,Prime Minister – Mia Mottley,mia.amor.mottley@barbados.gov.bb
 Belarus,President – Alexander Lukashenko,,
 Belgium,King – Philippe,Prime Minister – Alexander De Croo,contact@premier.be
 Belize,"King – Charles III[?]
Governor-General – Dame Froyla Tzalam",Prime Minister – Johnny Briceño,info@pressoffice.gov.bz
 Benin,President – Patrice Talon,,
 Bhutan,King – Jigme Khesar Namgyel Wangchuck,Prime Minister – Lotay Tshering,lotaytshering@cabinet.gov.bt
