,_id,MC_Entity,MC_EntityBB,MC_EntityShort,MC_EntityLong,MC_Address,MC_Telephone,MC_Telefax,MC_MembershipDate,MC_Holiday,MC_Category,MC_Category_Type,MC_WebSite,MC_SocialMedia,MC_eMail,MC_UNCorrespondenceLanguage
21,5ed5136868235a1f35484bee,AFGHANISTAN,Afghanistan,Afghanistan,Islamic Republic of Afghanistan,"Permanent Mission of Afghanistan
to the United Nations
633 Third Avenue, 27th Floor
New York, NY 10017",212-972-1212,212-972-1216,11/19/1946,"Independence Day, 19 August",1,,,,info@afghanistan-un.org,English
8,5ed5136868235a1f35484bef,ALBANIA,Albania,Albania,Republic of Albania,"Permanent Mission of the Republic
of Albania to the United Nations
320 East 79th Street
New York, NY 10075","212-249-2059
212-249-5654",646-390-3337,12/14/1955,"Independence Day, 28 November",1,,www.ambasadat.gov.al/united-nations,,"mission.newyork@mfa.gov.al
OfficeofthePR.Albania@mfa.gov.al
",English
2,5ed5136868235a1f35484bf0,ALGERIA,Algeria,Algeria,People's Democratic Republic of Algeria,"Permanent Mission of Algeria
to the United Nations
326 East 48th Street
New York, NY 10017","212-750-1960
212-750-1962
212-750-1965
212-750-1966","212-759-9538
212-759-5274",10/8/1962,1 November,1,,www.un.int/algeria,,algeria@un.int,French
10,5ed5136868235a1f35484bf1,ANDORRA,Andorra,Andorra,Principality of Andorra,"Permanent Mission of the Principality
of Andorra to the United Nations
Two United Nations Plaza, 27th Floor
New York, NY 10017","212-750-8064
212-750-8065",212-750-6630,7/28/1993,8 September,1,,www.exteriors.ad,,contact@andorraun.org,French; English
7,5ed5136868235a1f35484bf2,ANGOLA,Angola,Angola,Republic of Angola,"Permanent Mission of the Republic
of Angola to the United Nations
820 Second Avenue, 12th Floor
New York, NY 10017","212-861-5656
212-861-5787
212-861-5789",212-861-9295,12/1/1976,"Independence Day, 11 November",1,,,,theangolamission@angolaun.org,English
5,5ed5136868235a1f35484bf3,ANTIGUA AND BARBUDA,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,"Permanent Mission of Antigua and Barbuda
to the United Nations
305 East 47th Street, 6th Floor
New York, NY 10017",212-541-4117,212-757-1607,11/11/1981,"Independence Day, 1 November",1,,ab.gov.ag,,"unmission@ab.gov.ag
jackley.peters@ab.gov.ag (Ambassador's Office)",English
15,5ed5136868235a1f35484bf4,ARGENTINA,Argentina,Argentina,Republic of Argentina,"Permanent Mission of Argentina
to the United Nations
One United Nations Plaza, 25th Floor
New York, NY 10017",212-688-6300,212-980-8395,10/24/1945,25 May,1,,www.enaun.mrecic.gov.ar,,enaun@mrecic.gov.ar,Spanish
19,5ed5136868235a1f35484bf5,ARMENIA,Armenia,Armenia,Republic of Armenia,"Permanent Mission of the Republic
of Armenia to the United Nations
119 East 36th Street
New York, NY 10016","212-686-9079
212-686-3871",212-686-3934,3/2/1992,"National Day, 21 September",1,,www.un.mfa.am ,,armenia@un.int,English
16,5ed5136868235a1f35484bf6,AUSTRALIA,Australia,Australia,Commonwealth of Australia,"Permanent Mission of Australia
to the United Nations
150 East 42nd Street, 33rd Floor
New York, NY 10017",212-351-6600,212-351-6610,11/1/1945,"Australia Day, 26 January",1,,,,australia@un.int,English
20,5ed5136868235a1f35484bf7,AUSTRIA,Austria,Austria,Republic of Austria,"Permanent Mission of Austria
to the United Nations
600 Third Avenue, 31st Floor
New York, NY 10016",917-542-8400,212-949-1840,12/14/1955,26 October,1,,www.bmeia.gv.at/oev-new-york,,new-york-ov@bmeia.gv.at,English
